表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
,錦盛里,1120,827893,739,561,352,897,757.33,102.45
,中山里,877,723502,825,617,375,1039,839.93,101.81
,冠穗里,1099,943044,858,568,361,990,1548.19,180.42
,嘉慶里,1203,876305,728,559,344,918,636.25,87.34
,錦中里,1176,946293,805,565,334,1007,849.17,105.53
,員富里,995,739318,743,580,359,928,660.57,88.90
,民有里,869,642318,739,544,343,849,756.56,102.36
,碧河里,1367,1283266,939,651,372,1194,1116.34,118.92
,國華里,983,762730,776,599,386,988,621.66,80.12
,其 他,9,6459,718,467,341,1180,603.72,84.12
,合 計,124151,110353506,889,621,371,1084,1396.51,157.11
土城區,埤塘里,1032,755964,733,537,332,914,848.18,115.79
,土城里,578,425098,735,501,315,874,817.37,111.14
,員林里,1761,1439766,818,583,351,987,936.05,114.49
,貨饒里,1250,891721,713,545,353,867,667.25,93.53
,柑林里,961,877223,913,655,374,1175,794.30,87.02
,埤林里,2727,2465357,904,663,388,1139,806.99,89.26
,峰廷里,2015,1347757,669,516,337,839,598.81,89.53
,廷寮里,1302,957908,736,562,351,933,717.38,97.51
,清水里,2292,1665179,727,549,348,925,626.46,86.23
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
清化里,,423,406809,962,536,332,835,4971.46,516.93
大安里,,1423,1105141,777,546,337,940,952.49,122.64
永寧里,,2449,1860243,760,566,358,958,685.20,90.21
祖田里,,423,262339,620,479,321,781,506.51,81.67
頂埔里,,1430,1163922,814,543,353,903,2210.04,271.53
沛陂里,,1377,1105084,803,559,341,934,2080.89,259.29
頂新里,,845,804492,952,730,419,1217,856.02,89.91
長風里,,639,587881,920,660,394,1214,1019.31,110.79
頂福里,,1403,937030,668,517,338,839,601.80,90.11
員仁里,,1695,1158718,684,500,323,820,1095.10,160.19
日新里,,1350,956156,708,540,330,916,644.30,90.97
瑞興里,,874,651516,745,569,349,956,661.75,88.77
清溪里,,1903,1573017,827,575,346,1008,926.93,112.14
清和里,,1679,1072307,639,498,328,788,529.51,82.91
永豐里,,1261,1146406,909,621,373,1152,877.59,96.53
日和里,,1650,1195872,725,539,341,883,656.24,90.54
平和里,,1961,1381471,704,534,346,863,680.81,96.64
樂利里,,1645,1190453,724,548,343,909,607.43,83.94
廣福里,,1762,1596048,906,615,373,1185,1050.84,116.01
學府里,,1083,810253,748,557,348,909,656.14,87.70
延壽里,,1269,874992,690,537,342,837,632.55,91.74
安和里,,1382,984522,712,560,352,910,556.48,78.11
青雲里,,826,615688,745,556,347,933,662.56,88.89
員福里,,1625,1210746,745,523,327,882,1252.77,168.14
延吉里,,1102,697768,633,481,332,779,589.54,93.11
復興里,,1386,1097778,792,570,348,948,742.19,93.71
裕生里,,1676,1331480,794,583,363,972,813.20,102.36
員信里,,1294,992318,767,559,361,915,924.02,120.49
延和里,,1890,1472061,779,575,355,960,777.47,99.82
學成里,,952,770412,809,574,356,960,1428.77,176.55
永富里,,1398,919641,658,520,338,827,499.36,75.91
中正里,,951,769018,809,595,355,1051,751.57,92.94
學士里,,1446,1460942,1010,697,378,1321,970.99,96.11
明德里,,1898,2022130,1065,746,410,1369,1196.72,112.33
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,廣興里,1078,878459,815,587,343,1018,882.83,108.34
,青山里,833,579925,696,532,344,834,638.57,91.72
,金城里,1732,1445446,835,622,372,1073,914.69,109.60
,延祿里,1095,746565,682,553,356,855,520.36,76.32
,其 他,5,4359,872,862,592,1020,576.38,66.11
,合 計,65031,50665379,779,563,350,957,1000.56,128.43
瑞芳區,龍潭里,252,208215,826,575,338,897,1028.61,124.49
,龍鎮里,376,250823,667,531,313,831,582.96,87.39
,龍山里,379,247547,653,512,327,787,554.61,84.91
,龍川里,518,331494,640,481,303,796,548.83,85.76
,龍安里,179,120054,671,520,309,871,556.08,82.91
,柑坪里,308,187979,610,481,317,751,505.86,82.88
,爪峰里,1116,711876,638,511,325,795,512.01,80.27
,基山里,90,58069,645,534,330,791,527.02,81.68
,永慶里,77,50895,661,444,282,672,717.67,108.58
,崇文里,80,59873,748,603,388,929,794.77,106.19
,福住里,35,24337,695,602,363,971,482.23,69.35
,頌德里,89,52378,589,486,272,779,494.32,83.99
,瓜山里,52,39542,760,464,306,1149,710.92,93.49
,石山里,84,67029,798,564,367,1050,640.02,80.21
,新山里,86,50418,586,495,300,714,474.18,80.88
,銅山里,52,31013,596,499,298,692,457.07,76.64
,龍興里,654,537230,821,612,366,1083,711.02,86.56
,濓洞里,138,93890,680,478,324,981,588.43,86.49
,吉慶里,505,313501,621,514,321,786,515.89,83.10
,傑魚里,591,342397,579,458,299,702,471.62,81.41
,上天里,400,220092,550,469,308,707,388.48,70.60
,猴硐里,117,68021,581,434,284,688,568.19,97.73
,光復里,75,40992,547,506,283,819,333.60,61.04
,弓橋里,80,46361,580,462,294,716,405.12,69.91
,碩仁里,37,22554,610,387,293,639,880.82,144.50
,海濱里,279,182957,656,523,280,851,638.54,97.37
,深澳里,245,151009,616,499,315,810,491.61,79.76
,鼻頭里,139,84694,609,462,285,659,1000.66,164.23
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,南雅里,51,28960,568,442,262,605,687.46,121.07
,吉安里,844,541637,642,526,317,796,551.01,85.86
,濓新里,61,38892,638,494,271,883,590.70,92.65
,瑞濱里,512,333710,652,506,311,865,502.82,77.15
,東和里,444,282119,635,496,325,793,567.52,89.32
,新峰里,873,569427,652,512,338,831,486.48,74.58
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,9818,6389982,651,507,316,810,574.94,88.34
平溪區,薯榔里,96,49360,514,443,307,651,349.74,68.02
,白石里,58,29565,510,473,351,606,268.63,52.70
,菁桐里,61,35625,584,439,276,747,505.32,86.52
,平溪里,70,39125,559,407,303,739,394.42,70.57
,石底里,96,64418,671,462,295,840,632.78,94.30
,嶺腳里,166,104645,630,516,310,742,651.70,103.38
,東勢里,82,64354,785,516,354,868,920.37,117.27
,平湖里,38,20636,543,504,304,647,319.84,58.90
,南山里,85,44014,518,455,270,635,481.81,93.05
,新寮里,23,13646,593,456,352,648,420.53,70.88
,十分里,166,114285,688,504,306,830,782.54,113.66
,望古里,35,23889,683,592,426,901,429.03,62.86
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,976,603561,618,482,309,750,607.35,98.21
雙溪區,雙溪里,124,123608,997,491,290,710,4780.36,479.55
,共和里,118,77059,653,477,315,800,553.45,84.75
,新基里,197,134569,683,524,313,837,659.05,96.48
,魚行里,192,126771,660,486,303,833,547.51,82.92
,三港里,109,85714,786,665,381,1032,607.15,77.21
,牡丹里,428,289580,677,507,294,814,613.74,90.71
,三貂里,65,91107,1402,516,318,807,5762.62,411.13
,平林里,256,175395,685,503,314,940,565.67,82.56
,上林里,142,85174,600,496,288,744,450.74,75.15
,外柑里,99,63883,645,489,350,726,488.44,75.70
,長源里,73,44075,604,455,300,700,616.46,102.10
,泰平里,237,162702,687,496,303,836,781.77,113.88
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,,製表日期:105 年 06 月 20 日,,,
,,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,其,他,0,0,0,0,0,0,0.00,0.00
,合,計,2040,1459637,716,506,307,835,1667.09,232.99
貢寮區,貢寮里,,213,143294,673,508,302,797,591.43,87.91
,雙玉里,,148,111783,755,570,382,831,765.74,101.38
,龍崗里,,90,56946,633,496,288,689,602.27,95.19
,吉林里,,104,64494,620,474,284,772,564.78,91.07
,龍門里,,158,97187,615,424,288,744,636.19,103.43
,福隆里,,364,231979,637,469,296,775,636.48,99.87
,福連里,,174,104098,598,512,307,804,404.12,67.55
,仁里里,,445,299242,672,525,312,860,624.39,92.85
,真理里,,468,268274,573,428,275,739,493.54,86.10
,美豐里,,160,89153,557,476,282,750,395.98,71.07
,和美里,,220,138594,630,499,323,698,569.42,90.39
,其,他,0,0,0,0,0,0,0.00,0.00
,合,計,2544,1605044,631,482,301,786,579.25,91.81
金山區,和平里,,120,94882,791,518,330,1001,894.57,113.14
,大同里,,173,125662,726,546,316,854,782.46,107.72
,豐漁里,,105,57737,550,429,270,617,475.56,86.48
,磺港里,,361,210930,584,440,288,698,506.04,86.61
,美田里,,1211,815625,674,514,302,869,565.69,83.99
,五湖里,,511,364710,714,488,309,844,1173.60,164.43
,重和里,,345,283604,822,457,250,918,1191.67,144.96
,兩湖里,,99,60808,614,395,241,764,623.63,101.53
,六股里,,170,102866,605,451,268,732,615.41,101.70
,三界里,,137,73195,534,411,259,704,451.13,84.44
,清泉里,,195,124612,639,489,288,833,593.09,92.81
,西湖里,,58,39424,680,509,293,877,544.80,80.15
,萬壽里,,92,59365,645,548,368,775,496.33,76.92
,永興里,,137,74863,546,435,264,683,429.52,78.60
,金美里,,1392,873414,627,487,301,799,535.55,85.35
,其,他,0,0,0,0,0,0,0.00,0.00
,合,計,5106,3361697,658,483,295,812,710.76,107.96
萬里區,萬里里,,1162,743085,639,500,311,801,576.08,90.08
,龜吼里,,528,455989,864,515,289,882,3210.18,371.71
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,野柳里,660,427447,648,499,313,793,618.99,95.58
,大鵬里,684,426525,624,496,298,765,532.42,85.38
,磺潭里,159,95680,602,453,295,758,482.05,80.11
,雙興里,215,196428,914,509,297,845,2743.55,300.29
,溪底里,153,97372,636,504,307,829,487.19,76.55
,崁腳里,113,80332,711,519,355,860,708.90,99.72
,中幅里,271,186398,688,486,310,786,1038.50,150.99
,北基里,644,374237,581,447,295,678,663.25,114.13
,其 他,0,0,0,0,0,0,0.00,0.00
,合 計,4589,3083492,672,494,302,790,1370.53,203.97
淡水區,草東里,254,199240,784,528,263,974,827.52,105.50
,長庚里,494,420098,850,575,316,1022,949.14,111.61
,清文里,326,221969,681,457,282,836,905.02,132.92
,鄧公里,2183,3675460,1684,736,423,1313,24109.97,1431.99
,永吉里,276,202286,733,534,328,993,636.62,86.86
,協元里,448,313877,701,536,317,870,628.87,89.76
,民安里,226,187765,831,521,301,971,1113.67,134.04
,新生里,190,168160,885,574,363,1014,1314.50,148.52
,文化里,566,479147,847,589,335,1101,819.54,96.81
,油車里,1646,1312872,798,575,340,1016,803.97,100.80
,沙崙里,1084,837475,773,551,341,934,782.97,101.34
,水碓里,1789,1398577,782,574,329,1006,822.84,105.25
,北投里,2872,2757854,960,726,391,1268,904.73,94.22
,崁頂里,2526,2743509,1086,761,408,1346,2304.41,212.17
,屯山里,287,196251,684,519,321,849,652.28,95.39
,中和里,157,132518,844,553,336,875,1940.63,229.91
,水源里,563,438415,779,550,329,938,1154.59,148.27
,忠寮里,290,249093,859,517,317,902,1449.31,168.73
,樹興里,390,394646,1012,572,313,1192,1738.11,171.76
,埤島里,480,408692,851,591,333,973,1052.19,123.58
,興仁里,462,511854,1108,528,294,906,6649.71,600.20
,義山里,786,525326,668,495,310,798,724.20,108.36
,蕃薯里,291,230953,794,577,306,913,1449.38,182.62
,忠山里,243,180362,742,545,336,956,640.12,86.24
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,賢孝里,404,320370,793,567,316,903,1385.07,174.66
,竿蓁里,3673,4355779,1186,731,398,1280,4206.80,354.74
,坪頂里,445,445060,1000,598,328,1154,1638.45,163.82
,八勢里,1989,3173538,1596,808,407,1473,10645.54,667.20
,竹圍里,2152,2128135,989,657,383,1224,1153.31,116.62
,中興里,1145,858457,750,533,321,919,810.16,108.06
,福德里,2356,2925762,1242,802,416,1460,2452.90,197.52
,民生里,2403,2290338,953,640,373,1164,1636.95,171.75
,新興里,2308,1909247,827,628,367,1056,722.90,87.39
,新義里,1219,852404,699,522,324,849,773.07,110.55
,新春里,2204,2692463,1222,675,377,1196,12432.58,1017.71
,新民里,1440,1439998,1000,642,366,1229,1642.77,164.28
,正德里,1388,1204442,868,639,359,1147,767.51,88.45
,北新里,908,875510,964,697,381,1335,919.03,95.31
,幸福里,1217,941308,773,580,338,975,714.15,92.33
,學府里,1303,1064737,817,580,349,1006,1005.87,123.10
,民權里,1409,1529384,1085,667,378,1261,3322.29,306.08
,大庄里,1799,1673815,930,630,368,1140,1161.05,124.79
,其 他,4,2354,588,625,458,756,253.18,43.03
,合 計,48595,48869500,1006,640,361,1148,6418.40,638.24
汐止區,仁德里,544,403840,742,560,365,882,720.12,97.00
,義民里,419,328130,783,538,330,945,836.09,106.76
,禮門里,311,253196,814,559,335,939,1197.39,147.08
,智慧里,1472,1549366,1053,727,403,1315,1148.19,109.09
,信望里,107,118787,1110,639,356,1083,3081.61,277.58
,橋東里,940,809476,861,606,377,1065,1032.54,119.90
,茄苳里,1356,949609,700,547,366,900,522.05,74.55
,保安里,471,323292,686,498,320,803,882.28,128.54
,保長里,1295,974212,752,593,379,982,581.20,77.26
,鄉長里,712,542679,762,542,354,911,745.71,97.84
,江北里,1811,1359798,751,561,350,906,734.16,97.78
,烘內里,448,367213,820,584,371,1029,810.32,98.86
,拱北里,1370,929403,678,528,339,840,577.76,85.17
,樟樹里,664,428516,645,501,346,793,522.34,80.94
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
北峰里,,1394,920669,660,521,340,819,516.54,78.21
北山里,,1828,1606524,879,611,371,1051,984.32,112.00
八連里,,295,188912,640,494,309,826,545.01,85.11
白雲里,,1302,1287025,988,680,413,1214,1082.08,109.47
橫科里,,1388,1123889,810,587,359,990,744.47,91.94
東山里,,159,111201,699,494,324,815,695.48,99.44
新昌里,,1700,1566009,921,647,372,1095,1399.97,151.98
秀峰里,,1269,1004478,792,557,351,1017,726.97,91.84
復興里,,2547,2964420,1164,789,426,1502,1431.41,122.99
長安里,,465,310720,668,515,327,850,562.99,84.25
福山里,,1244,1592383,1280,676,385,1393,2086.22,162.98
宜興里,,1003,1074443,1071,686,412,1186,1557.12,145.36
中興里,,2457,1929952,785,576,354,961,727.72,92.64
湖光里,,2045,2222100,1087,728,401,1343,1368.08,125.90
厚德里,,2244,1871388,834,602,379,1014,1727.16,207.11
忠孝里,,2485,2006985,808,584,352,988,943.13,116.78
文化里,,1378,1259427,914,634,380,1129,1066.41,116.68
自強里,,1676,1567271,935,645,371,1181,990.62,105.93
金龍里,,1591,1262134,793,597,375,991,706.88,89.11
福德里,,1053,805546,765,587,362,966,621.05,81.18
興福里,,978,833227,852,631,380,1068,747.34,87.72
康福里,,1880,1781680,948,691,397,1167,1266.84,133.68
忠山里,,1267,2055290,1622,882,446,1835,2868.73,176.85
環河里,,438,333306,761,520,349,857,849.56,111.64
東勢里,,1474,2155888,1463,851,453,1727,2470.89,168.94
山光里,,762,588729,773,588,380,993,643.67,83.31
大同里,,904,776236,859,607,363,1066,941.16,109.61
崇德里,,1547,1375887,889,638,392,1111,928.23,104.37
湖興里,,2209,3788334,1715,732,402,1308,26500.35,1545.25
長青里,,342,543811,1590,757,402,1775,2512.51,158.01
福安里,,1857,2069812,1115,809,459,1444,1134.11,101.75
秀山里,,1409,1669712,1185,704,372,1318,2255.83,190.36
建成里,,1759,1645948,936,732,412,1220,816.11,87.22
城中里,,1523,1437802,944,708,414,1220,838.58,88.83
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,湖蓮里,993,1299365,1309,952,441,1671,1388.55,106.12
,保新里,871,622605,715,566,361,903,567.06,79.33
,其 他,8,3436,430,299,163,564,376.55,87.66
,合 計,61664,58994059,957,632,377,1121,5165.34,539.91
三芝區,八賢里,89,56285,632,443,258,823,713.88,112.88
,埔頭里,1385,836819,604,488,289,761,487.03,80.61
,古庄里,285,188599,662,494,279,814,702.29,106.13
,新庄里,211,129653,614,476,279,752,565.85,92.09
,埔坪里,1757,1113400,634,478,298,771,644.65,101.73
,茂長里,178,108994,612,423,266,814,573.17,93.61
,橫山里,122,75530,619,416,273,804,548.04,88.52
,錫板里,207,144125,696,516,311,806,630.84,90.60
,後厝里,671,595504,887,522,313,960,1807.65,203.68
,福德里,213,203068,953,597,393,1182,1109.51,116.38
,圓山里,138,107076,776,458,272,719,1753.19,225.95
,店子里,155,96454,622,506,276,777,571.95,91.91
,興華里,345,294803,855,533,329,798,1892.72,221.50
,其 他,2,2561,1281,1281,710,1851,1613.79,126.03
,合 計,5758,3952872,687,493,297,804,996.36,145.14
石門區,德茂里,260,153547,591,456,270,641,696.20,117.89
,富基里,369,225923,612,452,277,738,589.13,96.22
,老梅里,561,446266,795,462,278,767,4257.66,535.23
,山溪里,210,135651,646,460,304,791,597.85,92.55
,石門里,448,309061,690,518,320,850,568.56,82.42
,尖鹿里,428,270293,632,487,309,789,606.67,96.06
,乾華里,74,44539,602,445,257,729,587.96,97.69
,茂林里,214,164614,769,610,380,1071,524.57,68.20
,草里里,249,147689,593,448,289,751,466.63,78.67
,其 他,1,119,119,119,119,119,0.00,0.00
,合 計,2814,1897701,674,480,299,796,1971.70,292.37
八里區,龍源里,2117,2041834,964,597,364,1067,2322.51,240.80
,米倉里,951,1097268,1154,582,334,975,7954.12,689.38
,大崁里,783,652453,833,567,331,966,1287.70,154.54
,埤頭里,961,744520,775,555,349,966,776.71,100.26
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,頂罟里,524,386451,738,539,339,888,736.59,99.88
,舊城里,1867,1306735,700,537,340,892,609.93,87.14
,訊塘里,1093,792212,725,550,339,928,677.24,93.44
,荖阡里,421,319683,759,537,329,889,879.37,115.81
,下罟里,368,357664,972,526,309,806,5237.61,538.90
,長坑里,393,268325,683,485,312,840,733.58,107.44
,其 他,5,3265,653,552,351,701,501.07,76.73
,合 計,9483,7970409,840,558,342,943,3006.07,357.66
永和區,下溪里,1171,1145541,978,674,398,1179,1190.61,121.71
,中溪里,1595,1614528,1012,671,385,1263,1769.52,174.81
,上溪里,676,628583,930,649,367,1217,875.60,94.16
,後溪里,597,601659,1008,715,392,1289,1025.81,101.79
,頂溪里,838,857763,1024,677,375,1313,1293.98,126.42
,網溪里,364,341174,937,671,368,1236,1054.61,112.52
,復興里,801,773715,966,685,383,1218,982.56,101.72
,竹林里,1207,1130924,937,645,354,1156,1144.23,122.12
,中興里,922,949682,1030,672,369,1210,1420.25,137.89
,店街里,1434,1763218,1230,726,404,1449,2305.66,187.52
,潭墘里,1528,1784006,1168,741,396,1492,1903.04,163.00
,水源里,1348,1320669,980,712,383,1241,1049.68,107.14
,秀朗里,1230,1076775,875,615,380,1052,1184.42,135.30
,大同里,253,166733,659,497,345,796,651.95,98.93
,永成里,233,174140,747,537,358,870,701.15,93.81
,福和里,1877,2106818,1122,737,383,1413,1593.09,141.93
,豫溪里,1177,1167955,992,680,379,1312,1010.33,101.82
,上林里,1101,1134298,1030,684,401,1296,1068.81,103.74
,新�里,738,679557,921,666,349,1133,922.52,100.19
,和平里,1599,1583167,990,674,364,1260,1506.79,152.19
,仁愛里,872,858771,985,664,387,1225,1006.03,102.15
,前溪里,704,693088,984,690,384,1249,1057.75,107.44
,永興里,1030,915255,889,652,369,1081,935.55,105.28
,永安里,1395,1668705,1196,789,409,1518,1407.53,117.67
,雙和里,1309,1292710,988,714,395,1310,990.80,100.33
,得和里,1553,1580401,1018,670,387,1285,1195.31,117.46
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
大新里,,925,946267,1023,730,380,1366,1060.93,103.71
桂林里,,1158,1090499,942,639,370,1174,974.78,103.51
勵行里,,394,357900,908,647,361,1123,1114.90,122.74
光復里,,556,498600,897,596,368,1120,856.31,95.49
光明里,,1020,1022368,1002,688,392,1307,1026.78,102.44
信義里,,957,1037018,1084,682,390,1255,2263.32,208.87
正興里,,785,761007,969,641,375,1194,1069.72,110.34
忠義里,,182,127829,702,533,344,859,622.83,88.68
新生里,,220,167036,759,586,370,964,675.24,88.93
河堤里,,1071,1283468,1198,817,439,1439,1419.72,118.47
民治里,,953,855745,898,629,359,1070,1612.97,179.63
智光里,,1005,790493,787,595,351,1024,663.13,84.31
秀和里,,1654,1847191,1117,686,391,1341,2107.13,188.68
潭安里,,1577,1560752,990,686,378,1256,1324.11,133.79
永貞里,,1139,1149605,1009,673,389,1176,2902.32,287.55
福林里,,1043,954280,915,641,363,1163,1110.55,121.38
安和里,,1347,1375742,1021,687,369,1311,1352.84,132.46
文化里,,847,811624,958,690,365,1215,967.14,100.93
民權里,,1489,1590697,1068,707,390,1268,1744.73,163.32
民生里,,1201,1101900,917,605,352,1123,2144.11,233.69
永福里,,921,1013278,1100,680,380,1257,2864.16,260.33
河濱里,,1025,1063734,1038,666,378,1251,1325.25,127.70
永元里,,1611,1556317,966,700,379,1223,994.37,102.93
秀成里,,882,796055,903,663,379,1116,1187.31,131.55
秀林里,,1179,1046792,888,626,384,1114,965.80,108.78
秀得里,,876,807433,922,663,397,1111,1037.15,112.52
民族里,,1500,1615373,1077,688,391,1232,1624.48,150.85
民本里,,1314,1531528,1166,732,425,1387,2281.35,195.73
民樂里,,1595,2007153,1258,736,417,1354,2141.21,170.15
協和里,,889,768214,864,582,340,1030,1121.35,129.77
保平里,,1560,1702350,1091,693,393,1240,2379.01,218.01
保安里,,2450,4063939,1659,795,433,1555,18220.55,1098.45
民富里,,910,793286,872,662,394,1126,776.84,89.11
秀元里,,969,898248,927,653,367,1174,977.43,105.44
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,,,單位:金額(千元),,,
縣市別:新,,北,市,,,,,製表日期:105 年 06 月 20 日,,,
,,,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,,永樂里,,797,775580,973,656,391,1243,941.09,96.71
,,保順里,,3410,4322319,1268,878,462,1627,1455.52,114.83
,,其,他,1,19,19,19,19,19,0.00,0.00
,,合,計,68964,72101476,1045,688,386,1266,3744.04,358.11
其,他,其,他,243,219823,905,602,358,1064,983.56,108.73
,,合,計,243,219823,905,602,358,1064,983.56,108.73
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,,,
